# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmark.chainDepth128

# Run progress: 0.00% complete, ETA 00:30:54
# Fork: 1 of 1
# Warmup Iteration   1: 0.913 ns/op
# Warmup Iteration   2: 0.831 ns/op
# Warmup Iteration   3: 0.759 ns/op
Iteration  38: 0.763 ns/op
Iteration  39: 0.761 ns/op
Iteration  40: 0.760 ns/op
Iteration  41: 0.762 ns/op
Iteration  42: 0.765 ns/op
Iteration  43: 0.769 ns/op
Iteration  44: 0.761 ns/op
Iteration  45: 0.760 ns/op
Iteration  46: 0.763 ns/op
Iteration  47: 0.760 ns/op
Iteration  48: 0.761 ns/op
Iteration  49: 0.761 ns/op
Iteration  50: 0.760 ns/op
Iteration  51: 0.769 ns/op
Iteration  52: 0.762 ns/op
Iteration  53: 0.761 ns/op
Iteration  54: 0.762 ns/op
Iteration  55: 0.760 ns/op
Iteration  56: 0.760 ns/op
Iteration  57: 0.763 ns/op
Iteration  58: 0.759 ns/op
Iteration  59: 0.769 ns/op
Iteration  60: 0.761 ns/op
Iteration  61: 0.761 ns/op
Iteration  62: 0.761 ns/op
Iteration  63: 0.760 ns/op
Iteration  64: 0.760 ns/op
Iteration  65: 0.760 ns/op
Iteration  66: 0.761 ns/op
Iteration  67: 0.774 ns/op
Iteration  68: 0.761 ns/op
Iteration  69: 0.760 ns/op
Iteration  70: 0.762 ns/op
Iteration  71: 0.768 ns/op
Iteration  72: 0.763 ns/op
Iteration  73: 0.760 ns/op
Iteration  74: 0.762 ns/op
Iteration  75: 0.761 ns/op
Iteration  76: 0.761 ns/op
Iteration  77: 0.764 ns/op
Iteration  78: 0.762 ns/op
Iteration  79: 0.766 ns/op
Iteration  80: 0.761 ns/op
Iteration  81: 0.761 ns/op
Iteration  82: 0.762 ns/op
Iteration  83: 0.760 ns/op
Iteration  84: 0.760 ns/op
Iteration  85: 0.760 ns/op
Iteration  86: 0.762 ns/op
Iteration  87: 0.761 ns/op
Iteration  88: 0.768 ns/op
Iteration  89: 0.761 ns/op
Iteration  90: 0.760 ns/op
Iteration  91: 0.763 ns/op
Iteration  92: 0.766 ns/op
Iteration  93: 0.773 ns/op
Iteration  94: 0.761 ns/op
Iteration  95: 0.761 ns/op
Iteration  96: 0.761 ns/op
Iteration  97: 0.761 ns/op
Iteration  98: 0.762 ns/op
Iteration  99: 0.760 ns/op
Iteration 100: 0.767 ns/op


Result "com.benchmark.DispatchBenchmark.chainDepth16":
  0.762 ±(99.9%) 0.001 ns/op [Average]
  (min, avg, max) = (0.759, 0.762, 0.774), stdev = 0.003
  CI (99.9%): [0.761, 0.763] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmark.chainDepth2

# Run progress: 11.11% complete, ETA 00:27:34
# Fork: 1 of 1
# Warmup Iteration   1: 0.835 ns/op
# Warmup Iteration   2: 0.835 ns/op
# Warmup Iteration   3: 0.759 ns/op
Iteration   1: 0.758 ns/op
Iteration   2: 0.759 ns/op
Iteration   3: 0.758 ns/op
Iteration   4: 0.758 ns/op
Iteration   5: 0.757 ns/op
Iteration   6: 0.759 ns/op
Iteration   7: 0.759 ns/op
Iteration   8: 0.758 ns/op
Iteration   9: 0.758 ns/op
Iteration  10: 0.759 ns/op
Iteration  11: 0.759 ns/op
Iteration  12: 0.757 ns/op
Iteration  13: 0.757 ns/op
Iteration  14: 0.757 ns/op
Iteration  15: 0.757 ns/op
Iteration  16: 0.817 ns/op
Iteration  17: 0.758 ns/op
Iteration  18: 0.758 ns/op
Iteration  19: 0.758 ns/op
Iteration  20: 0.758 ns/op
Iteration  21: 0.759 ns/op
Iteration  22: 0.758 ns/op
Iteration  23: 0.758 ns/op
Iteration  24: 0.759 ns/op
Iteration  25: 0.758 ns/op
Iteration  26: 0.758 ns/op
Iteration  27: 0.759 ns/op
Iteration  28: 0.759 ns/op
Iteration  29: 0.759 ns/op
Iteration  30: 0.759 ns/op
Iteration  31: 0.758 ns/op
Iteration  32: 0.758 ns/op
Iteration  33: 0.759 ns/op
Iteration  34: 0.758 ns/op
Iteration  35: 0.759 ns/op
Iteration  36: 0.758 ns/op
Iteration  37: 0.758 ns/op
Iteration  38: 0.757 ns/op
Iteration  39: 0.758 ns/op
Iteration  40: 0.758 ns/op
Iteration  41: 0.760 ns/op
Iteration  42: 0.845 ns/op
Iteration  43: 0.805 ns/op
Iteration  44: 0.758 ns/op
Iteration  45: 0.758 ns/op
Iteration  46: 0.758 ns/op
Iteration  47: 0.758 ns/op
Iteration  48: 0.759 ns/op
Iteration  49: 0.760 ns/op
Iteration  50: 0.761 ns/op
Iteration  51: 0.757 ns/op
Iteration  52: 0.758 ns/op
Iteration  53: 0.757 ns/op
Iteration  54: 0.819 ns/op
Iteration  55: 0.757 ns/op
Iteration  56: 0.758 ns/op
Iteration  57: 0.760 ns/op
Iteration  58: 0.759 ns/op
Iteration  59: 0.758 ns/op
Iteration  60: 0.787 ns/op
Iteration  61: 0.758 ns/op
Iteration  62: 0.757 ns/op
Iteration  63: 0.758 ns/op
Iteration  64: 0.757 ns/op
Iteration  65: 0.761 ns/op
Iteration  66: 0.759 ns/op
Iteration  67: 0.759 ns/op
Iteration  68: 0.758 ns/op
Iteration  69: 0.761 ns/op
Iteration  70: 0.760 ns/op
Iteration  71: 0.758 ns/op
Iteration  72: 0.758 ns/op
Iteration  73: 0.758 ns/op
Iteration  74: 0.758 ns/op
Iteration  75: 0.757 ns/op
Iteration  76: 0.758 ns/op
Iteration  77: 0.758 ns/op
Iteration  78: 0.760 ns/op
Iteration  79: 0.758 ns/op
Iteration  80: 0.757 ns/op
Iteration  81: 0.758 ns/op
Iteration  82: 0.758 ns/op
Iteration  83: 0.759 ns/op
Iteration  84: 0.760 ns/op
Iteration  85: 0.760 ns/op
Iteration  86: 0.760 ns/op
Iteration  87: 0.759 ns/op
Iteration  88: 0.758 ns/op
Iteration  89: 0.758 ns/op
Iteration  90: 0.757 ns/op
Iteration  91: 0.758 ns/op
Iteration  92: 0.758 ns/op
Iteration  93: 0.758 ns/op
Iteration  94: 0.759 ns/op
Iteration  95: 0.757 ns/op
Iteration  96: 0.757 ns/op
Iteration  97: 0.758 ns/op
Iteration  98: 0.757 ns/op
Iteration  99: 0.758 ns/op
Iteration 100: 0.757 ns/op


Result "com.benchmark.DispatchBenchmark.chainDepth2":
  0.761 ±(99.9%) 0.004 ns/op [Average]
  (min, avg, max) = (0.757, 0.761, 0.845), stdev = 0.013
  CI (99.9%): [0.757, 0.766] (assumes normal distribution)


# JMH version: 1.37
# VM version: JDK 21.0.10, OpenJDK 64-Bit Server VM, 21.0.10+7-LTS
# VM invoker: /usr/lib/jvm/java-21-amazon-corretto.x86_64/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 3 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: com.benchmark.DispatchBenchmark.chainDepth32

# Run progress: 16.67% complete, ETA 00:25:51
# Fork: 1 of 1
# Warmup Iteration   1: 0.852 ns/op
# Warmup Iteration   2: 0.852 ns/op
# Warmup Iteration   3: 0.758 ns/op
Iteration   1: 0.758 ns/op
Iteration   2: 0.770 ns/op
Iteration   3: 0.769 ns/op
Iteration   4: 0.759 ns/op
Iteration   5: 0.759 ns/op
Iteration   6: 0.770 ns/op
Iteration   7: 0.760 ns/op
Iteration   8: 0.758 ns/op
Iteration   9: 0.758 ns/op
Iteration  10: 0.771 ns/op
Iteration  11: 0.759 ns/op
Iteration  12: 0.758 ns/op
Iteration  13: 0.760 ns/op
Iteration  14: 0.758 ns/op
Iteration  15: 0.760 ns/op
Iteration  16: 0.770 ns/op
Iteration  17: 0.759 ns/op
Iteration  18: 0.758 ns/op
Iteration  19: 0.758 ns/op
Iteration  20: 0.758 ns/op
Iteration  21: 0.757 ns/op
Iteration  22: 0.758 ns/op
Iteration  23: 0.758 ns/op
Iteration  24: 0.759 ns/op
Iteration  25: 0.758 ns/op
Iteration  26: 0.761 ns/op
Iteration  27: 0.759 ns/op
Iteration  28: 0.768 ns/op
Iteration  29: 0.759 ns/op
Iteration  30: 0.758 ns/op
Iteration  31: 0.758 ns/op
Iteration  32: 0.769 ns/op
Iteration  33: 0.758 ns/op
Iteration  34: 0.758 ns/op
Iteration  35: 0.758 ns/op
Iteration  36: 0.773 ns/op
Iteration  37: 0.764 ns/op
Iteration  38: 0.773 ns/op
Iteration  39: 0.759 ns/op
Iteration  40: 0.772 ns/op
Iteration  41: 0.759 ns/op
Iteration  42: 0.760 ns/op
Iteration  43: 0.758 ns/op
Iteration  44: 0.768 ns/op
Iteration  45: 0.760 ns/op
Iteration  46: 0.759 ns/op
Iteration  47: 0.758 ns/op
Iteration  48: 0.758 ns/op
Iteration  49: 0.758 ns/op
Iteration  50: 0.758 ns/op
Iteration  51: 0.761 ns/op
Iteration  52: 0.760 ns/op
Iteration  53: 0.758 ns/op
Iteration  54: 0.757 ns/op
Iteration  55: 0.758 ns/op
Iteration  56: 0.768 ns/op
Iteration  57: 0.759 ns/op
Iteration  58: 0.757 ns/op
Iteration  59: 0.758 ns/op
Iteration  60: 0.760 ns/op
Iteration  61: 0.758 ns/op
Iteration  62: 0.758 ns/op
Iteration  63: 0.758 ns/op
Iteration  64: 0.768 ns/op
Iteration  65: 0.758 ns/op
Iteration  66: 0.758 ns/op
Iteration  67: 0.760 ns/op
Iteration  68: 0.769 ns/op
Iteration  69: 0.758 ns/op
Iteration  70: 0.760 ns/op
Iteration  71: 0.758 ns/op
Iteration  72: 0.759 ns/op
Iteration  73: 0.759 ns/op
Iteration  74: 0.759 ns/op
